GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",676
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",585
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",467
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",416
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",320
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",516
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",312
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",524
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",806
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",565
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1350
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",497
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",511
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",402
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",690
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",431
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",645
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",805
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",831
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",893
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",905
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",423
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",501
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",958
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",1223
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",1837
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",455
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",242
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",479
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",321
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",256
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",214
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",292
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",309
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",401
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",300
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",365
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",569
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",297
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",438
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",447
1500000US245100701002,245100701002,"Block Group 2, Census Tract 701, Baltimore city, Maryland",651
